Weather_Condition,Accident_Count
Fair,327063
Mostly Cloudy,129154
Cloudy,112760
Partly Cloudy,100620
Clear,65211
Overcast,53400
Light Rain,47220
Light Snow,16145
Scattered Clouds,14560
Fog,12108
